"Name","Type","Uri","Path","Depth","Contained"
"androidDeviceOwnerEnrollmentProfiles","androidDeviceOwnerEnrollmentProfile","/beta/deviceManagement/androidDeviceOwnerEnrollmentProfiles","/deviceManagement/androidDeviceOwnerEnrollmentProfiles","0","True"
"androidForWorkAppConfigurationSchemas","androidForWorkAppConfigurationSchema","/beta/deviceManagement/androidForWorkAppConfigurationSchemas","/deviceManagement/androidForWorkAppConfigurationSchemas","0","True"
"androidForWorkEnrollmentProfiles","androidForWorkEnrollmentProfile","/beta/deviceManagement/androidForWorkEnrollmentProfiles","/deviceManagement/androidForWorkEnrollmentProfiles","0","True"
"androidManagedStoreAppConfigurationSchemas","androidManagedStoreAppConfigurationSchema","/beta/deviceManagement/androidManagedStoreAppConfigurationSchemas","/deviceManagement/androidManagedStoreAppConfigurationSchemas","0","True"
"zebraFotaArtifacts","zebraFotaArtifact","/beta/deviceManagement/zebraFotaArtifacts","/deviceManagement/zebraFotaArtifacts","0","True"
"zebraFotaDeployments","zebraFotaDeployment","/beta/deviceManagement/zebraFotaDeployments","/deviceManagement/zebraFotaDeployments","0","True"
"auditEvents","auditEvent","/beta/deviceManagement/auditEvents","/deviceManagement/auditEvents","0","True"
"assignmentFilters","deviceAndAppManagementAssignmentFilter","/beta/deviceManagement/assignmentFilters","/deviceManagement/assignmentFilters","0","True"
"chromeOSOnboardingSettings","chromeOSOnboardingSettings","/beta/deviceManagement/chromeOSOnboardingSettings","/deviceManagement/chromeOSOnboardingSettings","0","True"
"cloudCertificationAuthority","cloudCertificationAuthority","/beta/deviceManagement/cloudCertificationAuthority","/deviceManagement/cloudCertificationAuthority","0","True"
"cloudCertificationAuthorityLeafCertificate","cloudCertificationAuthorityLeafCertificate","/beta/deviceManagement/cloudCertificationAuthority/{id}/cloudCertificationAuthorityLeafCertificate","/deviceManagement/cloudCertificationAuthority/{id}/cloudCertificationAuthorityLeafCertificate","1","False"
"cloudCertificationAuthorityLeafCertificate","cloudCertificationAuthorityLeafCertificate","/beta/deviceManagement/cloudCertificationAuthorityLeafCertificate","/deviceManagement/cloudCertificationAuthorityLeafCertificate","0","True"
"termsAndConditions","termsAndConditions","/beta/deviceManagement/termsAndConditions","/deviceManagement/termsAndConditions","0","True"
"acceptanceStatuses","termsAndConditionsAcceptanceStatus","/beta/deviceManagement/termsAndConditions/{id}/acceptanceStatuses","/deviceManagement/termsAndConditions/{id}/acceptanceStatuses","1","True"
"assignments","termsAndConditionsAssignment","/beta/deviceManagement/termsAndConditions/{id}/assignments","/deviceManagement/termsAndConditions/{id}/assignments","1","True"
"groupAssignments","termsAndConditionsGroupAssignment","/beta/deviceManagement/termsAndConditions/{id}/groupAssignments","/deviceManagement/termsAndConditions/{id}/groupAssignments","1","True"
"cartToClassAssociations","cartToClassAssociation","/beta/deviceManagement/cartToClassAssociations","/deviceManagement/cartToClassAssociations","0","True"
"deviceCompliancePolicies","deviceCompliancePolicy","/beta/deviceManagement/deviceCompliancePolicies","/deviceManagement/deviceCompliancePolicies","0","True"
"assignments","deviceCompliancePolicyAssignment","/beta/deviceManagement/deviceCompliancePolicies/{id}/assignments","/deviceManagement/deviceCompliancePolicies/{id}/assignments","1","True"
"deviceSettingStateSummaries","settingStateDeviceSummary","/beta/deviceManagement/deviceCompliancePolicies/{id}/deviceSettingStateSummaries","/deviceManagement/deviceCompliancePolicies/{id}/deviceSettingStateSummaries","1","True"
